Title,Genre,Duration (minutes),IMDb Rating,MetaScore,Certificates,Year,Poster-src,Score
Pride,Biography,119.0,7.8,79.0,R,2014,"https://m.media-amazon.com/images/M/MV5BMTU2OTcyOTE3MF5BMl5BanBnXkFtZTgwNTg5Mjc1MjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.83
Father Stu,Biography,124.0,6.5,40.0,PG-13,2022,"https://m.media-amazon.com/images/M/MV5BNGYwOTI1MTUtYmY0Mi00OTAxLTkwNDEtOTI5YTkyZTVhN2JiXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_QL75_UY281_CR18,0,190,281_.jpg",5.75
Amistad,Biography,155.0,7.3,64.0,R,1997,"https://m.media-amazon.com/images/M/MV5BODFmYjRmMmItMzA1OS00YTJmLTlmZTItYzI4NjAzNzMzYjc5XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.029999999999999
Cherry,Biography,142.0,6.6,44.0,R,2021,"https://m.media-amazon.com/images/M/MV5BOTZkMzlkYmItZDAyNy00NmZhLWE3MWItMzQyNDhkYzcwMTFmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.9399999999999995
Bully,Biography,108.0,6.9,45.0,TV-MA,2001,"https://m.media-amazon.com/images/M/MV5BYTg1MGU5NmEtN2E4MS00Y2Y2LTg3MDUtNjk3NzQxNTdiYTBhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR3,0,190,281_.jpg",6.18
Serpico,Biography,130.0,7.7,83.0,R,1973,"https://m.media-amazon.com/images/M/MV5BOTRkNjg3YzQtNGE3NC00M2U1LTg1ODItNmM3ZjMyOTYzYjEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",7.88
Bank of Dave,Biography,107.0,7.1,60.0,PG-13,2023,"https://m.media-amazon.com/images/M/MV5BNWFlNTM3YWEtMzhjOS00MjQyLTg2NzEtM2NlOTViMzMzYTUyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_QL75_UY281_CR3,0,190,281_.jpg",6.77
Heavenly Creatures,Biography,99.0,7.3,86.0,R,1994,"https://m.media-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,3,190,281_.jpg",7.6899999999999995
Papillon,Biography,151.0,8.0,58.0,R,1973,"https://m.media-amazon.com/images/M/MV5BZGRjZjQ0NzAtYmZlNS00Zjc1LTk1YWItMDY5YzQxMzA4MTAzXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UX190_CR0,4,190,281_.jpg",7.34
The Lover,Biography,115.0,6.8,59.0,R,1992,"https://m.media-amazon.com/images/M/MV5BYTRhMjZhNzgtNjNkMC00Y2FhLWIxMDEtYjg1M2JiNWIyZmM4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX190_CR0,5,190,281_.jpg",6.529999999999999
Spencer,Biography,117.0,6.6,76.0,R,2021,"https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UY281_CR1,0,190,281_.jpg",6.899999999999999
Alpha Dog,Biography,122.0,6.9,53.0,R,2006,"https://m.media-amazon.com/images/M/MV5BMjExODMyNzQzMl5BMl5BanBnXkFtZTYwNzMwNTg3._V1_QL75_UX190_CR0,0,190,281_.jpg",6.42
The Edge of Love,Biography,110.0,6.1,39.0,R,2008,"https://m.media-amazon.com/images/M/MV5BOTI3NDNlMmEtMWQyOS00MmEzLTgxOTAtNGU2NzVjMzZiNzQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",5.4399999999999995
The Disaster Artist,Biography,104.0,7.3,76.0,R,2017,"https://m.media-amazon.com/images/M/MV5BOGNkMzliMGMtMDI5Ni00OTZkLTgyMTYtNzk5ZTY1NjVhYjVmXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.389999999999999
Midnight Express,Biography,121.0,7.5,59.0,R,1978,"https://m.media-amazon.com/images/M/MV5BNDU1MjQ0YWMtMWQ2MS00NTdmLTg1MGItNDA5NTNkNTRhOTIyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,5,190,281_.jpg",7.02
Adrift,Action,96.0,6.6,56.0,PG-13,2018,"https://m.media-amazon.com/images/M/MV5BMTkxMTI2MjE4OF5BMl5BanBnXkFtZTgwMjIyODQzNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.299999999999999
Vice,Biography,132.0,7.2,61.0,R,2018,"https://m.media-amazon.com/images/M/MV5BMTY1NjM0MzgxMV5BMl5BanBnXkFtZTgwNDc4NTY0NjM@._V1_QL75_UX190_CR0,8,190,281_.jpg",6.87
The Iceman,Biography,106.0,6.8,60.0,R,2012,"https://m.media-amazon.com/images/M/MV5BNDQyMjM5MTc2OF5BMl5BanBnXkFtZTgwMzg1NTMxMjE@._V1_QL75_UY281_CR1,0,190,281_.jpg",6.56
Born on the Fourth of July,Biography,145.0,7.2,75.0,R,1989,"https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.29
The Killing Fields,Biography,141.0,7.8,76.0,R,1984,"https://m.media-amazon.com/images/M/MV5BZTMxYjBjOTktYWY5OC00NmYwLWE2NTctYzlkMTFkODYxMzRkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",7.74
Only the Brave,Action,134.0,7.6,72.0,PG-13,2017,"https://m.media-amazon.com/images/M/MV5BYWFlOWI3YTMtYTk3NS00YWQ2LTlmYTMtZjk0ZDk4Y2NjODI0XkEyXkFqcGdeQXVyNTQxNTQ4Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.4799999999999995
Butch Cassidy and the Sundance Kid,Biography,110.0,8.0,66.0,PG,1969,"https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.579999999999999
Sully,Biography,96.0,7.4,74.0,PG-13,2016,"https://m.media-amazon.com/images/M/MV5BY2NmZDAwM2QtZmFiMS00OTJlLTgxMTItZDMyZmVhYjE1MDY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.4
Captain Phillips,Action,134.0,7.8,82.0,PG-13,2013,"https://m.media-amazon.com/images/M/MV5BODhiZWRhMjctNDUyMS00NmUwLTgwYmItMjJhOWNkZWQ3ZTQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.92
Megan Leavey,Action,116.0,7.1,66.0,PG-13,2017,"https://m.media-amazon.com/images/M/MV5BMTUxOTk2NTkxNF5BMl5BanBnXkFtZTgwOTUyOTM3MTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.949999999999999
Outlaw King,Action,121.0,6.9,59.0,R,2018,"https://m.media-amazon.com/images/M/MV5BMTc4MTU4YzEtODBiNC00NzA4LTg0NGItM2ZhZjZlNDFiNjJjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.6
Unbroken,Action,137.0,7.2,59.0,PG-13,2014,"https://m.media-amazon.com/images/M/MV5BMTY3ODg2OTgyOF5BMl5BanBnXkFtZTgwODk1OTAwMzE@._V1_QL75_UX190_CR0,10,190,281_.jpg",6.8100000000000005
Elizabeth,Biography,124.0,7.4,75.0,R,1998,"https://m.media-amazon.com/images/M/MV5BNWM4NmYwNTYtZDJhNS00YTIwLWJhNjAtNzAxNTEzMzAxN2ZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.43
The Post,Biography,116.0,7.2,83.0,PG-13,2017,"https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.53
Bonnie and Clyde,Action,111.0,7.7,86.0,R,1967,"https://m.media-amazon.com/images/M/MV5BMTNjNzBlY2QtNmY1Ni00MzhkLThmODgtMzc3ZDQ0YzJjZjNlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",7.969999999999999
The Elephant Man,Biography,124.0,8.2,78.0,PG,1980,"https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg",8.079999999999998
The Blind Side,Biography,129.0,7.6,53.0,PG-13,2009,"https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_QL75_UX190_CR0,1,190,281_.jpg",6.909999999999999
Dog Day Afternoon,Biography,125.0,8.0,86.0,R,1975,"https://m.media-amazon.com/images/M/MV5BODExZmE2ZWItYTIzOC00MzI1LTgyNTktMDBhNmFhY2Y4OTQ3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.18
"Good Morning, Vietnam",Biography,121.0,7.3,67.0,R,1987,"https://m.media-amazon.com/images/M/MV5BOWRhZGQ5ODQtMzUzNi00M2I4LThmZmUtYmQ0NDQzMTkxMWQ0XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.119999999999999
Snow White and the Huntsman,Action,127.0,6.1,57.0,PG-13,2012,"https://m.media-amazon.com/images/M/MV5BOGQ5MWNjZGQtOWM2ZC00MjEyLWEwODAtN2JmN2U0OWQ0YzI3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,10,190,281_.jpg",5.9799999999999995
Awakenings,Biography,121.0,7.8,74.0,PG-13,1990,"https://m.media-amazon.com/images/M/MV5BMWUxOTk2NzUtZDBjYi00MzIwLWFlODYtZjFmNDM5MjlkYjJjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",7.68
Donnie Brasco,Biography,127.0,7.7,77.0,R,1997,"https://m.media-amazon.com/images/M/MV5BYzMzMDZkYWEtODIzNS00YjI3LTkxNTktOWEyZGM3ZWI2MWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.699999999999999
Jarhead,Biography,125.0,7.0,58.0,R,2005,"https://m.media-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",6.64
Lee,Biography,116.0,6.9,59.0,R,2023,"https://m.media-amazon.com/images/M/MV5BMzQyNWVmOGItZTM4OC00MGE5LTk2MzAtZWNjYzJhYmZhZTY4XkEyXkFqcGdeQXVyMzA3NTc2NDM@._V1_QL75_UY281_CR117,0,190,281_.jpg",6.6
127 Hours,Biography,94.0,7.5,82.0,R,2010,"https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.709999999999999
Jersey Boys,Biography,134.0,6.8,54.0,R,2014,"https://m.media-amazon.com/images/M/MV5BMjIyMjA2OTM0NF5BMl5BanBnXkFtZTgwMzY2MTI2MTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.38
Out of Africa,Biography,161.0,7.1,69.0,PG,1985,"https://m.media-amazon.com/images/M/MV5BMTc5Y2NiZWQtZGY4YS00NDI4LThhM2ItMDdhYzFlNzY1NmM0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,1,190,281_.jpg",7.039999999999999
Bloodsport,Action,92.0,6.8,29.0,R,1988,"https://m.media-amazon.com/images/M/MV5BNTJmMGEzMTQtMzQzMi00YjE1LWI4MTctNjY0NWZiYzE2MDVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,8,190,281_.jpg",5.63
The Mauritanian,Biography,129.0,7.5,53.0,R,2021,"https://m.media-amazon.com/images/M/MV5BODJlMzdlYzItMzRkNi00NTE0LTliZjQtMTllNzkxNDVhNjkxXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.84
Chisum,Biography,111.0,6.8,66.0,G,1970,"https://m.media-amazon.com/images/M/MV5BMDk2M2I4ZGQtOGQ4MS00YmE4LWE3ZDUtNDA0NzlhZWJmMmI5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,4,190,281_.jpg",6.739999999999999
Amy,Documentary,128.0,7.8,85.0,R,2015,"https://m.media-amazon.com/images/M/MV5BMTQ1MzE4MTE3OF5BMl5BanBnXkFtZTgwOTcyNDM3NTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",8.01
Belfast,Biography,98.0,7.2,75.0,PG-13,2021,"https://m.media-amazon.com/images/M/MV5BODMwYTYyY2ItOWQ5Yi00OTI1LTllYTQtYTdlNWM4YzJhYTM0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UX190_CR0,0,190,281_.jpg",7.29
Nyad,Biography,121.0,7.1,63.0,PG-13,2023,"https://m.media-amazon.com/images/M/MV5BNWJhMzVmN2QtODg0ZS00ODk1LWExNDItZjIyMTczYmUzNjY1XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX190_CR0,2,190,281_.jpg",6.859999999999999
Wild,Adventure,115.0,7.1,74.0,R,2014,"https://m.media-amazon.com/images/M/MV5BMGMzZmYzYmUtNTJiYi00MjZjLTkyZmMtZGJhYWRlMDBkMDIyXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.1899999999999995
Tetris,Biography,118.0,7.4,61.0,R,2023,"https://m.media-amazon.com/images/M/MV5BZmZmNTdiYjMtZDdmNi00ZGU4LThkYmQtZTFhZWNlYmUxYWZkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.01
Lawless,Biography,116.0,7.2,58.0,R,2012,"https://m.media-amazon.com/images/M/MV5BMjAxNjUyNjUwN15BMl5BanBnXkFtZTcwMDgwOTIyOA@@._V1_QL75_UY281_CR0,0,190,281_.jpg",6.78
The Insider,Biography,157.0,7.8,85.0,R,1999,"https://m.media-amazon.com/images/M/MV5BODg0YjAzNDQtOGFkMi00Yzk2LTg1NzYtYTNjY2UwZTM2ZDdkL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR3,0,190,281_.jpg",8.01
Bleed for This,Biography,117.0,6.8,62.0,R,2016,"https://m.media-amazon.com/images/M/MV5BMjAwNzgyNTUxMF5BMl5BanBnXkFtZTgwNzc0ODc1OTE@._V1_QL75_UX190_CR0,7,190,281_.jpg",6.619999999999999
Wyatt Earp,Action,191.0,6.7,47.0,PG-13,1994,"https://m.media-amazon.com/images/M/MV5BZTY2NDVhZGUtZTY2MC00MTBhLTg4YTQtN2ZiODU4OWM2YTNjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,1,190,281_.jpg",6.1
Lincoln,Biography,150.0,7.3,87.0,PG-13,2012,"https://m.media-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.719999999999999
Walk the Line,Biography,136.0,7.8,72.0,PG-13,2005,"https://m.media-amazon.com/images/M/MV5BMjIyOTU3MjUxOF5BMl5BanBnXkFtZTcwMTQ0NjYzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.62
King Richard,Biography,144.0,7.5,76.0,PG-13,2021,"https://m.media-amazon.com/images/M/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.529999999999999
Miracle,Biography,135.0,7.5,68.0,PG,2004,"https://m.media-amazon.com/images/M/MV5BMjEyOTk1OTcyNV5BMl5BanBnXkFtZTYwNjMzNDU3._V1_QL75_UX190_CR0,0,190,281_.jpg",7.29
Mask,Biography,120.0,7.2,73.0,PG-13,1985,"https://m.media-amazon.com/images/M/MV5BYTVlYjExOWEtZmU5Yy00N2VjLWJmY2UtZjZiYzMzYzhhYjNiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,3,190,281_.jpg",7.23
Straight Outta Compton,Biography,147.0,7.8,72.0,R,2015,"https://m.media-amazon.com/images/M/MV5BMTA5MzkyMzIxNjJeQTJeQWpwZ15BbWU4MDU0MDk0OTUx._V1_QL75_UX190_CR0,10,190,281_.jpg",7.62
The Fighter,Action,116.0,7.8,79.0,R,2010,"https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_QL75_UX190_CR0,8,190,281_.jpg",7.83
The King's Speech,Biography,118.0,8.0,88.0,R,2010,"https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_QL75_UY281_CR1,0,190,281_.jpg",8.24
The Theory of Everything,Biography,123.0,7.7,71.0,PG-13,2014,"https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_QL75_UX190_CR0,0,190,281_.jpg",7.52
Joy,Biography,124.0,6.6,56.0,PG-13,2015,"https://m.media-amazon.com/images/M/MV5BNzRiOWZmMzUtZTJiOC00MjQ1LTkwMjgtNzhlYzBmODAzYTA0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.299999999999999
"Extremely Wicked, Shockingly Evil and Vile",Biography,110.0,6.7,52.0,R,2019,"https://m.media-amazon.com/images/M/MV5BMjM4ZjY5ZmQtNjUwYi00Yzk2LWIwNmMtYTg1NmU0MWExZTMzXkEyXkFqcGdeQXVyMTg2MDEyMzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.25
First Man,Biography,141.0,7.3,84.0,PG-13,2018,"https://m.media-amazon.com/images/M/MV5BMDBhOTMxN2UtYjllYS00NWNiLWE1MzAtZjg3NmExODliMDQ0XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX190_CR0,10,190,281_.jpg",7.629999999999999
Jerry and Marge Go Large,Biography,96.0,6.9,52.0,PG-13,2022,"https://m.media-amazon.com/images/M/MV5BYWI5Y2ExNzUtZjQ1NS00ZjBlLWI1NDktZGYwNTRiNzI5ZjMxXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg",6.390000000000001
Glory,Biography,122.0,7.8,78.0,R,1989,"https://m.media-amazon.com/images/M/MV5BODhlNjA5MDEtZDVhNS00ZmM3LTg1YzAtZGRjNjhjNTAzNzVkXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY281_CR2,0,190,281_.jpg",7.8
The Founder,Biography,115.0,7.2,66.0,PG-13,2016,"https://m.media-amazon.com/images/M/MV5BMzExNDg0MDk1M15BMl5BanBnXkFtZTgwNzE1Mjg0MDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.02
Silkwood,Biography,131.0,7.1,64.0,R,1983,"https://m.media-amazon.com/images/M/MV5BMGQ0N2U0YzMtNWIxYi00NWVhLWI3OTYtNTE5YjU0YTQwMGYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,8,190,281_.jpg",6.89
Dallas Buyers Club,Biography,117.0,7.9,77.0,R,2013,"https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.84
Blow,Biography,124.0,7.5,52.0,R,2001,"https://m.media-amazon.com/images/M/MV5BYjg5ZDkzZWEtZDQ2ZC00Y2ViLThhMzYtMmIxZDYzYTY2Y2Y2XkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_QL75_UY281_CR4,0,190,281_.jpg",6.8100000000000005
The Aviator,Biography,170.0,7.5,77.0,PG-13,2004,"https://m.media-amazon.com/images/M/MV5BMGJmYmY3ZjgtMmNhOC00NTE5LTk2YjgtMGI2OWZkNzU4Nzc2XkEyXkFqcGdeQXVyMTUzNTkxNDMw._V1_QL75_UX190_CR0,2,190,281_.jpg",7.5600000000000005
The Highwaymen,Biography,132.0,6.9,58.0,R,2019,"https://m.media-amazon.com/images/M/MV5BZmM5Y2QzOGQtNTdjZS00NDVhLThkYjItZjZiMjk4YjM0ZTUzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.57
Marie Antoinette,Biography,123.0,6.5,64.0,PG-13,2006,"https://m.media-amazon.com/images/M/MV5BNDViNjYxNWYtMWRiOS00NmMyLTgwNDMtNTg3MWYwNjAxNWM4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.47
Spartacus,Adventure,197.0,7.9,87.0,PG-13,1960,"https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,3,190,281_.jpg",8.14
Raging Bull,Biography,129.0,8.1,90.0,R,1980,"https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg",8.37
Bombshell,Biography,109.0,6.8,64.0,R,2019,"https://m.media-amazon.com/images/M/MV5BZjlhOWE3YjktY2MzOC00ZmQ1LWIwNjgtZmVhZmFjZGExMzgyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX190_CR0,6,190,281_.jpg",6.68
The Basketball Diaries,Biography,102.0,7.3,46.0,R,1995,"https://m.media-amazon.com/images/M/MV5BMjdlNzQxZGUtZTg5YS00ODg2LTkxMzctMDAyNmEwM2YyZjA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,5,190,281_.jpg",6.489999999999999
Colonia,Biography,110.0,7.0,33.0,R,2015,"https://m.media-amazon.com/images/M/MV5BMjE3NjQ1MTIxNl5BMl5BanBnXkFtZTgwOTY4OTIzODE@._V1_QL75_UY281_CR1,0,190,281_.jpg",5.89
Richard Jewell,Biography,131.0,7.5,68.0,R,2019,"https://m.media-amazon.com/images/M/MV5BOTFlODg1MTEtZTJhOC00OTY1LWE0YzctZjRlODdkYWY5ZDM4XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.29
Free State of Jones,Action,139.0,6.9,53.0,R,2016,"https://m.media-amazon.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx._V1_QL75_UY281_CR2,0,190,281_.jpg",6.42
Public Enemies,Action,140.0,7.0,70.0,R,2009,"https://m.media-amazon.com/images/M/MV5BMGI4YTIxMDQtNDlmNC00ZDJhLWIyZGItM2QyODRiMTEzN2ViXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.0
The Hill,Biography,126.0,6.7,48.0,PG,2023,"https://m.media-amazon.com/images/M/MV5BMmJmOWJkNDUtMDMzZi00ZmY3LWExYmEtYTYwMzNkMWEwNTlkXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.129999999999999
A Beautiful Day in the Neighborhood,Biography,109.0,7.2,80.0,PG,2019,"https://m.media-amazon.com/images/M/MV5BZWE3ZDYwNmItOWM5ZS00Y2Q4LTlhNmYtODlhY2QxYzA1MDlhXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.4399999999999995
Lone Survivor,Action,121.0,7.5,60.0,R,2013,"https://m.media-amazon.com/images/M/MV5BMjA0NTgwOTk5Ml5BMl5BanBnXkFtZTcwMjE3NDc5OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.05
Everest,Action,121.0,7.1,64.0,PG-13,2015,"https://m.media-amazon.com/images/M/MV5BMTNmMzM0ZTktZWY3Yy00ODViLTllZDgtODcwM2QyM2E2YTU2L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.89
"I, Tonya",Biography,119.0,7.5,77.0,R,2017,"https://m.media-amazon.com/images/M/MV5BMjI5MDY1NjYzMl5BMl5BanBnXkFtZTgwNjIzNDAxNDM@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.5600000000000005
Hachi: A Dog's Tale,Biography,93.0,8.1,66.0,G,2009,"https://m.media-amazon.com/images/M/MV5BYmQzYjgyYzEtOTVhZC00MDRkLWJjNjItYzU3N2RiMTExZjA1XkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX190_CR0,1,190,281_.jpg",7.649999999999999
Thirteen Lives,Biography,147.0,7.8,66.0,PG-13,2022,"https://m.media-amazon.com/images/M/MV5BNzI4YzkyMTYtYmQ1MC00NjYwLThkMDgtY2E1Njg1MTAzZWJhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.4399999999999995
Spotlight,Biography,129.0,8.1,93.0,R,2015,"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_QL75_UY281_CR0,0,190,281_.jpg",8.459999999999999
House of Gucci,Biography,158.0,6.6,59.0,R,2021,"https://m.media-amazon.com/images/M/MV5BYzdlMTMyZWQtZWNmMC00MTJiLWIyMWMtM2ZlZDdlYzZhNTc0XkEyXkFqcGdeQXVyMTMzNDE5NDM2._V1_QL75_UX190_CR0,0,190,281_.jpg",6.389999999999999
The Pursuit of Happyness,Biography,117.0,8.0,64.0,PG-13,2006,"https://m.media-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.52
Argo,Biography,120.0,7.7,86.0,R,2012,"https://m.media-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.969999999999999
